Timestamp,CO2
1540919209,562
1540919219,562
1540919229,562
1540919239,563
1540919249,562
1540919259,563
1540919269,563
1540919279,563
1540919289,562
1540919299,562
1540919309,562
1540919319,562
1540919329,562
1540919339,562
1540919349,561
1540919359,561
1540919369,561
1540919379,561
1540919389,561
1540919399,561
1540919409,560
1540919419,560
1540919429,561
1540919439,561
1540919449,562
1540919459,562
1540919469,562
1540919479,562
1540919489,562
1540919499,562
1540919509,562
1540919519,562
1540919529,562
1540919539,562
1540919549,561
1540919559,561
1540919569,562
1540919579,562
1540919589,562
1540919599,561
1540919609,562
1540919619,561
1540919629,561
1540919639,561
1540919649,561
1540919659,561
1540919669,561
1540919679,561
1540919689,560
1540919699,560
1540919709,561
1540919719,561
1540919729,561
1540919739,561
1540919749,561
1540919759,561
1540919769,561
1540919779,561
1540919789,561
1540919799,561
1540919809,561
1540919819,561
1540919829,561
1540919839,561
1540919849,561
1540919859,561
1540919869,561
1540919879,561
1540919889,561
1540919899,561
1540919909,561
1540919919,561
1540919929,561
1540919939,561
1540919949,558
1540919959,557
1540919969,553
1540919979,555
1540919989,559
1540919999,560
1540920009,553
1540920019,552
1540920029,553
1540920039,553
1540920049,554
1540920059,557
1540920069,560
1540920079,560
1540920089,560
1540920099,560
1540920109,560
1540920119,560
1540920129,560
1540920139,560
1540920149,553
1540920159,553
1540920169,554
1540920179,552
1540920189,552
1540920199,552
1540920209,552
1540920219,552
1540920229,552
1540920239,553
1540920249,559
1540920259,560
1540920269,560
1540920279,557
1540920289,553
1540920299,555
1540920309,560
1540920319,560
1540920329,560
1540920339,558
1540920349,553
1540920359,553
1540920370,553
1540920380,553
1540920390,553
1540920400,553
1540920410,553
1540920420,552
1540920430,552
1540920440,552
1540920450,553
1540920460,552
1540920470,552
1540920480,552
1540920490,552
1540920500,552
1540920510,552
1540920520,552
1540920530,552
1540920540,551
1540920550,551
1540920560,551
1540920570,552
1540920580,552
1540920590,551
1540920600,551
1540920610,551
1540920620,551
1540920630,551
1540920640,551
1540920650,552
1540920660,551
1540920670,551
1540920680,551
1540920690,551
1540920700,551
1540920710,551
1540920720,551
1540920730,551
1540920740,551
1540920750,551
1540920760,551
1540920770,551
1540920780,551
1540920790,551
1540920800,551
1540920810,551
1540920820,552
1540920830,552
1540920840,551
1540920850,551
1540920860,551
1540920870,551
1540920880,552
1540920890,551
1540920900,551
1540920910,551
1540920920,551
1540920930,551
1540920940,551
1540920950,551
1540920960,551
